Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2020-08-04,3,0,59,2.4929,2.533333333,0:02:32
2022-10-30,3,0,31,4.0681,7.866666667,0:07:52
2022-11-24,3,-1,5167,25.5864,0.2833333333,0:00:17
2022-11-29,3,2,3758,16.3747,0.25,0:00:15
2022-12-03,3,1,1497,13.5429,0.5333333333,0:00:32
2022-12-04,3,3,3556,16.1794,0.2666666667,0:00:16
2015-02-19,2,2,19,0.2129,0.6666666667,0:00:40
2015-03-14,2,0,14,0.1973,0.8333333333,0:00:50
2015-07-06,2,0,24,0.6422,1.6,0:01:36
2015-10-18,2,0,72,2.3,1.916666667,0:01:55
2015-10-21,2,-3,76,1.4982,1.166666667,0:01:10
2015-11-29,2,-1,99,4.164,2.516666667,0:02:31
2015-12-05,2,-1,64,1.3558,1.266666667,0:01:16
2015-12-15,2,-1,60,3.7681,3.766666667,0:03:46
2015-12-19,2,0,47,1.6646,2.116666667,0:02:07
2015-12-25,2,0,44,1.2364,1.683333333,0:01:41
2016-01-22,2,0,22,1.9191,5.233333333,0:05:14
2016-03-07,2,0,32,0.6476,1.2,0:01:12
2016-03-08,2,0,55,1.4218,1.55,0:01:33
2016-04-27,2,0,45,1.8651,2.483333333,0:02:29
2016-05-14,2,0,84,4.0539,2.883333333,0:02:53
2016-05-15,2,0,75,3.6245,2.883333333,0:02:53
2016-05-17,2,0,91,6.7612,4.45,0:04:27
2016-05-22,2,1,69,4.3372,3.766666667,0:03:46
2016-05-23,2,0,50,3.4782,4.166666667,0:04:10
2016-06-13,2,-1,49,2.5208,3.083333333,0:03:05
2016-06-14,2,1,46,3.3862,4.416666667,0:04:25
2016-06-15,2,0,46,5.106,6.65,0:06:39
2016-06-18,2,1,50,4.8947,5.866666667,0:05:52
2016-07-29,2,0,57,2.1858,2.3,0:02:18
2016-08-14,2,0,77,2.5223,1.95,0:01:57
2016-08-28,2,2,140,4.5306,1.933333333,0:01:56
2016-09-05,2,-1,122,5.8822,2.883333333,0:02:53
2016-10-06,2,0,100,4.1792,2.5,0:02:30
2016-11-01,2,0,245,9.2629,2.266666667,0:02:16
2016-11-02,2,2,131,7.2039,3.283333333,0:03:17
2016-11-07,2,0,137,8.088,3.533333333,0:03:32
2016-12-02,2,0,183,5.6314,1.833333333,0:01:50
2016-12-05,2,0,126,5.114,2.433333333,0:02:26
2016-12-23,2,0,149,4.1282,1.65,0:01:39
2016-12-28,2,1,127,5.174,2.433333333,0:02:26
2017-01-10,2,-1,103,5.4366,3.166666667,0:03:10
2017-01-31,2,-1,121,6.5477,3.233333333,0:03:14
2017-02-02,2,0,131,4.5679,2.083333333,0:02:05
2017-03-22,2,1,105,9.0747,5.183333333,0:05:11
2017-04-02,2,-1,188,9.8005,3.116666667,0:03:07
2017-04-10,2,1,173,10.0144,3.466666667,0:03:28
2017-04-24,2,0,95,3.1822,2,0:02:00
2017-05-23,2,1,180,16.306,5.433333333,0:05:26
2017-06-07,2,1,198,6.5109,1.966666667,0:01:58
2017-06-17,2,1,271,18.6787,4.133333333,0:04:08
2017-06-23,2,1,303,15.1895,3,0:03:00
2017-07-15,2,-1,180,7.2795,2.416666667,0:02:25
2017-07-25,2,-1,136,7.4363,3.266666667,0:03:16
2017-08-12,2,-1,150,5.9385,2.366666667,0:02:22
2017-09-05,2,1,214,7.505,2.1,0:02:06
2017-10-10,2,0,97,7.8776,4.866666667,0:04:52
2017-10-30,2,0,152,9.6315,3.8,0:03:48
2017-11-02,2,0,134,6.6498,2.966666667,0:02:58
2017-11-07,2,0,169,4.3761,1.55,0:01:33
2017-11-18,2,0,114,3.7874,1.983333333,0:01:59
2017-11-30,2,0,105,4.9988,2.85,0:02:51
2017-12-03,2,-1,125,7.7245,3.7,0:03:42
2017-12-10,2,1,107,4.9547,2.766666667,0:02:46
2017-12-15,2,0,161,7.5202,2.8,0:02:48
2018-01-12,2,0,132,5.7369,2.6,0:02:36
2018-01-21,2,1,205,6.498,1.9,0:01:54
2018-01-26,2,-2,190,11.3829,3.583333333,0:03:35
2018-01-29,2,3,199,17.196,5.183333333,0:05:11
2018-02-23,2,1,167,7.878,2.816666667,0:02:49
2018-03-06,2,1,175,7.4004,2.533333333,0:02:32
2018-03-15,2,1,172,4.4862,1.55,0:01:33
2018-04-24,2,-2,96,1.8545,1.15,0:01:09
2018-05-03,2,1,168,4.2514,1.516666667,0:01:31
2018-05-19,2,0,146,5.4164,2.216666667,0:02:13
2018-05-21,2,1,134,7.2163,3.216666667,0:03:13
2018-05-23,2,0,123,3.9092,1.9,0:01:54
2018-06-06,2,2,133,2.9292,1.316666667,0:01:19
2018-06-13,2,1,125,3.5462,1.7,0:01:42
2018-06-15,2,0,128,4.415,2.066666667,0:02:04
2018-06-17,2,1,119,3.9947,2,0:02:00
2018-06-25,2,0,190,8.9276,2.816666667,0:02:49
2018-06-27,2,0,106,3.0256,1.7,0:01:42
2018-07-02,2,7,327,10.9352,2,0:02:00
2018-07-08,2,4,170,10.2158,3.6,0:03:36
2018-07-09,2,4,204,11.0564,3.25,0:03:15
2018-07-10,2,3,230,8.1587,2.116666667,0:02:07
2018-07-12,2,-2,167,6.3358,2.266666667,0:02:16
2018-07-30,2,1,129,5.0426,2.333333333,0:02:20
2018-08-03,2,0,147,2.9389,1.183333333,0:01:11
2018-08-08,2,1,121,4.0176,1.983333333,0:01:59
2018-08-15,2,1,139,2.6225,1.116666667,0:01:07
2018-09-07,2,0,102,2.177,1.266666667,0:01:16
2018-09-13,2,-1,111,3.6905,1.983333333,0:01:59
2018-09-27,2,0,115,5.593,2.916666667,0:02:55
2018-12-02,2,0,50,1.3143,1.566666667,0:01:34
2018-12-28,2,0,87,3.5733,2.45,0:02:27
2019-01-02,2,1,116,5.2621,2.716666667,0:02:43
2019-01-12,2,-1,96,7.6178,4.75,0:04:45
2019-01-18,2,1,80,2.4426,1.816666667,0:01:49
2019-03-30,2,1,66,3.7769,3.433333333,0:03:26
2019-04-08,2,2,91,6.1252,4.033333333,0:04:02
2019-05-21,2,0,86,3.5368,2.466666667,0:02:28
2019-06-05,2,0,51,0.8676,1.016666667,0:01:01
2019-08-16,2,0,74,4.3828,3.55,0:03:33
2019-08-22,2,0,67,3.7233,3.333333333,0:03:20
2019-11-20,2,0,106,4.4753,2.516666667,0:02:31
2019-12-04,2,0,52,2.7931,3.216666667,0:03:13
2020-01-06,2,-4,114,19.2193,10.1,0:10:06
2020-01-30,2,1,72,10.0934,8.4,0:08:24
2020-02-01,2,0,77,2.1755,1.683333333,0:01:41
2020-02-08,2,1,77,3.3618,2.616666667,0:02:37
2020-02-25,2,1,98,5.0006,3.05,0:03:03
2020-03-20,2,1,118,2.226,1.116666667,0:01:07
2020-05-03,2,-1,63,5.3849,5.116666667,0:05:07
2020-11-17,2,0,51,1.3661,1.6,0:01:36
2021-02-26,2,0,33,3.5587,6.466666667,0:06:28
2021-05-21,2,0,19,0.3289,1.033333333,0:01:02
2022-09-26,2,0,33,1.1053,2,0:02:00
2022-10-31,2,0,23,1.1965,3.116666667,0:03:07
2022-11-05,2,1,54,0.4758,0.5166666667,0:00:31
2022-11-07,2,1,924,5.976,0.3833333333,0:00:23
2022-11-27,2,2,764,9.409,0.7333333333,0:00:44
2022-11-30,2,2,4180,18.3713,0.25,0:00:15
2015-02-18,1,0,2,0.0235,0.7,0:00:42
2015-02-26,1,0,4,0.1192,1.783333333,0:01:47
2015-02-27,1,0,16,0.3179,1.183333333,0:01:11
2015-03-05,1,0,13,0.2094,0.95,0:00:57
2015-03-26,1,1,9,0.1221,0.8,0:00:48
2015-04-23,1,1,18,0.2724,0.9,0:00:54
2015-05-07,1,0,4,0.0314,0.4666666667,0:00:28
2015-07-17,1,0,6,0.3177,3.166666667,0:03:10
2015-07-26,1,0,9,0.2434,1.616666667,0:01:37
2015-07-30,1,0,14,0.2831,1.2,0:01:12
2015-09-05,1,0,18,0.2417,0.8,0:00:48
2015-09-08,1,0,18,0.8234,2.733333333,0:02:44
2015-09-27,1,2,89,2.1378,1.433333333,0:01:26
2015-09-28,1,6,98,6.2542,3.816666667,0:03:49
2015-10-17,1,-1,96,1.6565,1.033333333,0:01:02
2015-10-19,1,0,54,1.7568,1.95,0:01:57
2015-10-20,1,-1,49,1.331,1.616666667,0:01:37
2015-11-05,1,-1,32,1.1015,2.05,0:02:03
2015-11-13,1,1,64,2.0192,1.883333333,0:01:53
2015-11-18,1,0,98,2.9456,1.8,0:01:48
2015-11-20,1,1,56,3.928,4.2,0:04:12
2015-11-26,1,1,68,3.7626,3.316666667,0:03:19
2015-12-01,1,0,31,2.2976,4.433333333,0:04:26
2015-12-07,1,-1,123,6.6412,3.233333333,0:03:14
2015-12-13,1,0,76,3.7984,2.983333333,0:02:59
2015-12-17,1,0,38,1.5406,2.416666667,0:02:25
2015-12-20,1,0,42,1.449,2.066666667,0:02:04
2015-12-29,1,0,30,2.9837,5.966666667,0:05:58
2016-01-01,1,0,27,1.3562,3,0:03:00
2016-01-05,1,-2,34,1.0959,1.933333333,0:01:56
2016-01-08,1,1,54,2.7857,3.083333333,0:03:05
2016-01-24,1,0,57,2.3868,2.5,0:02:30
2016-01-25,1,0,31,1.9384,3.75,0:03:45
2016-01-27,1,0,34,1.2471,2.2,0:02:12
2016-02-03,1,-2,37,1.0462,1.683333333,0:01:41
2016-02-08,1,0,62,2.4153,2.333333333,0:02:20
2016-02-09,1,0,69,2.3706,2.05,0:02:03
2016-02-10,1,0,51,1.7229,2.016666667,0:02:01
2016-02-12,1,-1,68,0.9928,0.8666666667,0:00:52
2016-02-23,1,-1,49,3.5871,4.383333333,0:04:23
2016-03-17,1,0,52,2.4827,2.85,0:02:51
2016-03-22,1,0,41,2.6582,3.883333333,0:03:53
2016-03-23,1,1,37,1.9466,3.15,0:03:09
2016-03-29,1,-2,51,4.4203,5.2,0:05:12
2016-04-05,1,0,37,1.93,3.116666667,0:03:07
2016-04-07,1,0,65,2.3667,2.183333333,0:02:11
2016-04-08,1,-1,37,1.8605,3.016666667,0:03:01
2016-04-09,1,0,31,1.2253,2.366666667,0:02:22
2016-04-11,1,0,52,1.0671,1.216666667,0:01:13
2016-04-12,1,0,47,1.0829,1.366666667,0:01:22
2016-04-13,1,1,55,1.4903,1.616666667,0:01:37
2016-04-21,1,0,34,1.5116,2.666666667,0:02:40
2016-04-29,1,0,35,4.467,7.65,0:07:39
2016-05-02,1,0,41,0.6157,0.9,0:00:54
2016-05-03,1,0,31,1.3686,2.633333333,0:02:38
2016-05-04,1,-1,37,2.7153,4.4,0:04:24
2016-05-10,1,0,43,3.8896,5.416666667,0:05:25
2016-05-12,1,0,40,1.4307,2.133333333,0:02:08
2016-05-13,1,1,62,2.3294,2.25,0:02:15
2016-05-21,1,0,66,6.8163,6.183333333,0:06:11
2016-05-24,1,0,43,1.5819,2.2,0:02:12
2016-05-26,1,1,48,5.586,6.966666667,0:06:58
2016-05-27,1,0,57,3.6046,3.783333333,0:03:47
2016-05-29,1,1,37,2.1395,3.466666667,0:03:28
